Price,qm2,Description
900 €,51 m²,2-Zimmer-Wohnung|MünchenUntergiesing-Harlaching|Schönstr
2150 €,80 m²,"3,5-Zimmer-Wohnung|MünchenRamersdorf-Perlach|Kafkastr.3a"
2800 €,90 m²,3-Zimmer-Wohnung|MünchenAltstadt-Lehel|Färbergraben
1800 €,80 m²,3-Zimmer-Wohnung|MünchenThalkirchen-Obersendling-...|BoschetsriederStraße61a
2100 €,60 m²,"3-Zimmer-Wohnung|MünchenMünchen|Akademiestrasse,23"
1100 €,45 m²,2-Zimmer-Wohnung|MünchenObergiesing-Fasangarten|TegernseerLandstraße201a
1150 €,49 m²,1-Zimmer-Wohnung|MünchenAu-Haidhausen|Auerfeldstrasse
1425 €,81 m²,"3,5-Zimmer-Wohnung|MünchenMilbertshofen-AmHart|Frohschammerstr"
1800 €,44 m²,3-Zimmer-Wohnung|MünchenBergamLaim|Hochalmstraße
1700 €,66 m²,3-Zimmer-Wohnung|MünchenBogenhausen|Böhmerwaldplatz
2000 €,72 m²,"2,5-Zimmer-Wohnung|MünchenMaxvorstadt|Georgenstraße117"
1600 €,75 m²,3-Zimmer-Wohnung|MünchenSchwanthalerhöhe|Schwanthalerstraße135
1035 €,44 m²,"1,5-Zimmer-Wohnung|MünchenObergiesing-Fasangarten|SachrangerStr.5"
2350 €,42 m²,2-Zimmer-Wohnung|MünchenSchwabing-West|Kurfürstenplatz1
2800 €,112 m²,"3,5-Zimmer-Wohnung|MünchenObergiesing-Fasangarten|Balanstraße"
1950 €,78 m²,"3,5-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Auenstr78"
1150 €,65 m²,2-Zimmer-Wohnung|MünchenBergamLaim|BaumkirchnerStr.
2240 €,71 m²,"2,5-Zimmer-Wohnung|MünchenMaxvorstadt|Georgenstr."
1165 €,43 m²,2-Zimmer-Wohnung|MünchenBergamLaim|Else-Rosenfeld-Str.
1500 €,40 m²,"2-Zimmer-Wohnung|MünchenAltstadt-Lehel|St.-Anna-Platz,8"
2300 €,80 m²,"3-Zimmer-Wohnung|MünchenMaxvorstadt|Adalbertstraße,39"
2110 €,110 m²,2-Zimmer-Wohnung|MünchenMoosach|Schöpferplatz
800 €,20 m²,1-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Klenzestrasse
1870 €,85 m²,4-Zimmer-Wohnung|MünchenBogenhausendirekteGrenz...|Trogerstraße
1080 €,18 m²,2-Zimmer-Wohnung|MünchenBergamLaim|Kreillerstraße
1200 €,58 m²,2-Zimmer-Wohnung|MünchenObergiesing-Fasangarten|Deisenhofenerstr34
800 €,60 m²,"2-Zimmer-Wohnung|MünchenMünchen|Gertrud-grunow-Str.,32"
985 €,35 m²,1-Zimmer-Wohnung|MünchenUntergiesing-Harlaching|Wettersteinplatz
1400 €,63 m²,2-Zimmer-Wohnung|MünchenMaxvorstadt|Görresstr.
1800 €,65 m²,2-Zimmer-Wohnung|MünchenMünchenNordheide|Fingerkrautanger24
2950 €,75 m²,3-Zimmer-Wohnung|MünchenSendling-Westpark|Südparkallee7
1490 €,38 m²,1-Zimmer-Wohnung|MünchenSendling|Leipartstrasse22
1100 €,53 m²,2-Zimmer-Wohnung|MünchenSchwabing-West|Klausingweg
1500 €,50 m²,"1,5-Zimmer-Wohnung|MünchenJohanneskirchen|Johanneskirchenstrasse87..."
2000 €,100 m²,3-Zimmer-Wohnung|MünchenBergamLaim|Fehwiesenstraße6F
1300 €,45 m²,2-Zimmer-Wohnung|MünchenSchwanthalerhöhe|Ganghoferstraße23
1650 €,90 m²,2-Zimmer-Wohnung|MünchenHaidhausen|Grillparzerstraße
1970 €,73 m²,3-Zimmer-Wohnung|MünchenRamersdorf-Perlach|Irma-Uhrbach-Str.
1480 €,46 m²,2-Zimmer-Wohnung|MünchenSchwanthalerhöhe|Westendstraße
1414 €,43 m²,2-Zimmer-Wohnung|MünchenBogenhausen|Herkomerplatz
1250 €,50 m²,2-Zimmer-Wohnung|MünchenSchwabing-West|Klausingweg5
1850 €,60 m²,3-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Lindwurmstr120
1590 €,72 m²,"2,5-Zimmer-Wohnung|MünchenMünchen|BoschetsriederStr.55"
1800 €,67 m²,2-Zimmer-Wohnung|MünchenSendling|Adunistraße1
1200 €,65 m²,2-Zimmer-Wohnung|MünchenKleinhadern|Schröfelhofstraße29
1080 €,18 m²,2-Zimmer-Wohnung|MünchenBergamLaim|Kreillerstraße
1590 €,60 m²,"2,5-Zimmer-Wohnung|MünchenThalkirchen-Obersendling-...|Waakirchnerstraße33"
1590 €,60 m²,"2,5-Zimmer-Wohnung|MünchenThalkirchen-Obersendling-...|Waakirchnerstraße33"
1650 €,55 m²,2-Zimmer-Wohnung|MünchenSchwabing-West|Karl-Theodor-Straße81
1533 €,73 m²,2-Zimmer-Wohnung|MünchenNeuhausen-Nymphenburg|Volkatrstr.69
2050 €,78 m²,"3,5-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Auenstraße78"
1700 €,80 m²,3-Zimmer-Wohnung|MünchenNeuhausen-Nymphenburg|Winfriedstr.
1090 €,60 m²,2-Zimmer-Wohnung|MünchenMaxvorstadt|Heßstraße00
1300 €,40 m²,"1,5-Zimmer-Wohnung|MünchenBogenhausen|Stuntzstraße"
100 €,50 m²,2-Zimmer-Wohnung|MünchenSchwabing-West|Hiltenspergerstr.
